prefix,feature,input,description,shap_rank
loan,loan_amount_change_ratio,"loans, analyzed_at, user_created_at",Ratio of current loan amount to previous loan amount,1
loan,loan_amount_sum_lifetime,"loans, analyzed_at, user_created_at",Sum of all loan amounts across user lifetime,2
loan,loan_amount,"loans, analyzed_at, user_created_at",Current loan amount,3
loan,loan_days_to_repay_minus_tenure_lag1,"loans, analyzed_at, user_created_at",Days to repay minus loan tenure for previous loan,4
loan,loan_days_late_max_90d,"loans, analyzed_at, user_created_at",Maximum days late on loan repayment in last 90 days,5
sms,sms_weighted_risk,android_sms,Risk-weighted score based on SMS sender analysis,6
demographics,demographics_age_at_signup,"curp_identity, user_created_at",User age at time of account signup,7
sms,sms_late_count_last_10d,android_sms,Count of late payment related SMS in last 10 days,8
loan,loan_days_between_repaid_current,"loans, analyzed_at, user_created_at",Days between when previous loan was repaid and current loan was created,9
cdc,cdc_acc_accounts_opened_12mo,credit_reports,Number of credit accounts opened in last 12 months from credit bureau,10
survey,survey_activity,survey_response,Employment status from survey response,11
apps,apps_loan,android_application_packages,Binary indicator for loan/financial apps installed,12
loan,loan_days_repaid_to_next_lag1,"loans, analyzed_at, user_created_at",Days from repayment to next loan creation (previous loan),13
survey,survey_credit_card_status,survey_response,"Credit card ownership status from survey: ""OwnACreditCard"", etc.",14
loan,loan_days_repaid_to_next_avg_lifetime,"loans, analyzed_at, user_created_at",Average days from loan repayment to next loan across lifetime,15
apps,apps_default_decile_4,android_application_packages,Binary indicator for apps in default risk decile 4,16
sms,sms_utility_related,android_sms,Binary indicator for utility-related SMS,17
apps,apps_default_decile_7,android_application_packages,Binary indicator for apps in default risk decile 7,18
account,account_institution_name,accounts,Financial institution name from connected account,19
loan,loan_days_to_repay_min_30d,"loans, analyzed_at, user_created_at",Minimum days to repay in last 30 days,20
loan,loan_days_late_avg_90d,"loans, analyzed_at, user_created_at",Average days late on loan repayment in last 90 days,21
survey,survey_paycheck_schedule.frequency.twice_a_month_days,survey_response,Days of month for twice-monthly paycheck from survey,22
loan,loan_limit_change_avg_lifetime,"loans, analyzed_at, user_created_at",Average loan limit change across user lifetime,23
android,android_network_link_up_bandwidth,android_network_capabilities,Network upload bandwidth from Android system,24
sms,sms_loan_count_last_10d,android_sms,Count of loan-related SMS in last 10 days,25
kyc,kyc_place_of_birth,kyc,Place of birth from KYC verification,26
loan,loan_fee_rate_max_30d,"loans, analyzed_at, user_created_at",Maximum fee rate in last 30 days,27
user,user_hours_since_created,"user_created_at, analyzed_at",Hours since user account was created,28
cdc,cdc_acc_max_credit_limit_type_PP,credit_reports,Maximum credit limit for PP type accounts from credit bureau,29
apps,apps_default_decile_9,android_application_packages,Binary indicator for apps in default risk decile 9,30
cdc,cdc_acc_pct_accounts_under_1yr,credit_reports,Percentage of credit accounts under 1 year old from credit bureau,31
amplitude,amplitude_os_version,amplitude_segment_identity,Operating system version from Amplitude tracking,32
loan,loan_days_to_repay_min_90d,"loans, analyzed_at, user_created_at",Minimum days to repay in last 90 days,33
apps,apps_default_decile_10,android_application_packages,Binary indicator for apps in default risk decile 10,34
apps,apps_default_decile_2,android_application_packages,Binary indicator for apps in default risk decile 2,35
app,app_com_baubap,android_application_packages,Binary indicator for specific app installed: com.baubap,36
sms,sms_approved_related_address_count,android_sms,Count of loan approval related SMS per address,37
apps,apps_default_decile_8,android_application_packages,Binary indicator for apps in default risk decile 8,38
cdc,cdc_acc_days_since_last_account_opened,credit_reports,Days since last credit account was opened from credit bureau,39
user,user_channel,user_channel,User acquisition channel,40
survey,survey_residence_type,survey_response,Type of residence from survey (own/rent/family),41
app,app_co_nelo_nelo,android_application_packages,Binary indicator for specific app installed: co.nelo.nelo,42
survey,survey_empower_loan_repayment_timeline,survey_response,Ideal loan tenure from survey,43
loan,loan_amount_avg_90d,"loans, analyzed_at, user_created_at",Average loan amount in last 90 days,44
sms,sms_avg_loan_related_per_address,android_sms,Average loan-related SMS per address,45
sms,sms_avg_late_related_per_address,android_sms,Average late payment related SMS per address,46
survey,survey_debt_amount,survey_response,Outstanding debt amount from survey,47
